compound_id,full_smiles,donor_smiles,bridge_smiles,acceptor_smiles,core_smiles,C2,,,,
40,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(Br)C=C2)=O)=C\C=C\N3CC(C=CC=C4)=C4C3)N(C)C1=O,[*:5]N1CC(C=CC=C2)=C2C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(Br)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(Br)C=C1)=O,,,,
41,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N2CC(C=CC=C3)=C3C2,[*:5]N1CC(C=CC=C2)=C2C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
42,O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)/C1=C/C(NS(=O)(C3=CC=C(Br)C=C3)=O)=C/C=C/N4CCC5=C4C=CC=C5,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CN1S(=O)(C2=CC=C(Br)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(Br)C=C1)=O,,,,
43,OC(/C=C1C(C(F)(F)F)=NN(C2=CC=CC=C2)C/1=O)=C\C=C\N3CCC4=C3C=CC=C4,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CO1)=O,O[*:2],,,,
44,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=CC=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=CC=C2)=O)=O,[*:2]NS(=O)(C1=CC=CC=C1)=O,,,,
45,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=C(C=CC=C3)C3=CC=C2)=O)=C\C=C\N4CCC5=C4C=CC=C5)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=C(C=CC=C3)C3=CC=C2)=O)=O,[*:2]NS(=O)(C1=CC=CC2=C1C=CC=C2)=O,,,,
46,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(OC)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(OC)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(OC)C=C1)=O,,,,
47,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(SC)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(SC)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(SC)C=C1)=O,,,,
48,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(F)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(F)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(F)C=C1)=O,,,,
49,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(Cl)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(Cl)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(Cl)C=C1)=O,,,,
50,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(Br)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(Br)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(Br)C=C1)=O,,,,
51,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(I)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(I)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(I)C=C1)=O,,,,
52,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(N=[N+]=[N-])C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(N=[N+]=[N-])C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(N=[N+]=[N-])C=C1)=O,,,,
53,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C([N+]([O-])=O)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C([N+]([O-])=O)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C([N+]([O-])=O)C=C1)=O,,,,
54,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=C([N+]([O-])=O)C=CC=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=C([N+]([O-])=O)C=CC=C2)=O)=O,[*:2]NS(=O)(C1=CC=CC=C1[N+]([O-])=O)=O,,,,
55,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(C(F)(F)F)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C(F)(F)F)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C(F)(F)F)C=C1)=O,,,,
56,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(C#N)C=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
57,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC(Cl)=C(Cl)C=C2Cl)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC(Cl)=C(Cl)C=C2Cl)=O)=O,[*:2]NS(=O)(C1=CC(Cl)=C(Cl)C=C1Cl)=O,,,,
58,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=C(F)C(F)=C(F)C(F)=C2F)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=C(F)C(F)=C(F)C(F)=C2F)=O)=O,[*:2]NS(=O)(C1=C(F)C(F)=C(F)C(F)=C1F)=O,,,,
59,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=CN=C2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=CN=C2)=O)=O,[*:2]NS(=O)(C1=CC=CN=C1)=O,,,,
60,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=CS2)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=CS2)=O)=O,[*:2]NS(=O)(C1=CC=CS1)=O,,,,
61,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=C(C)C=C(C)C=C2C)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=C(C)C=C(C)C=C2C)=O)=O,[*:2]NS(=O)(C1=C(C)C=C(C)C=C1C)=O,,,,
62,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=C(C)C=C(C(C)(C)C)C=C2C)=O)=C\C=C\N3CCC4=C3C=CC=C4)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=C(C)C=C(C(C)(C)C)C=C2C)=O)=O,[*:2]NS(=O)(C1=C(C)C=C(C(C)(C)C)C=C1C)=O,,,,
63,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C)=O)=C\C=C\N2CCC3=C2C=CC=C3)N(C)C1=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C)=O)=O,[*:2]NS(=O)(C)=O,,,,
64,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(C#N)C=C2)=O)=C\C=C\N3CCC4=C3C=CC(OC)=C4)N(C)C1=O,[*:5]N1C(C=CC(OC)=C2)=C2CC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
65,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(C#N)C=C2)=O)=C\C=C\N3CCC4=C3C=CC(F)=C4)N(C)C1=O,[*:5]N1C(C=CC(F)=C2)=C2CC1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
66,O=C(/C(C(N1C)=O)=C\C(NS(=O)(C2=CC=C(C#N)C=C2)=O)=C\C=C\N3CC(C=CC=C4)=C4C3)N(C)C1=O,[*:5]N1CC(C=CC=C2)=C2C1,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
67,O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)/C1=C/C(NS(=O)(C3=CC=C(C#N)C=C3)=O)=C/C=C/N4CCC5=C4C=CC=C5,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C1N(C2=CC=CC=C2)N=C(C(F)(F)F)C1=[*:1],[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
68,O=C1C2=C(C=CC=C2)C(/C1=C/C(NS(=O)(C3=CC=C(C#N)C=C3)=O)=C/C=C/N4CCC5=C4C=CC=C5)=O,[*:5]N1CCC2=C1C=CC=C2,[*:1]=C/C([*:2])=C/C=C/[*:5],[*:1]=C(C(C1=C2C=CC=C1)=O)C2=O,[H]C(C1=CC=CN1S(=O)(C2=CC=C(C#N)C=C2)=O)=O,[*:2]NS(=O)(C1=CC=C(C#N)C=C1)=O,,,,
69,OC(/C=C1C(N(C)C(N(C)C/1=O)=O)=O)=C\C=C\N(CCCCCCC)CCCCCCC,[*:5]N(CCCCCCC)CCCCCCC,[*:1]=C/C([*:2])=C/C=C/[*:5],O=C(C(C(N1C)=O)=[*:1])N(C)C1=O,[H]C(C1=CC=CO1)=O,O[*:2],,,,
